sku,title,price,stock,currency,category,description
BJ-DOCK-TB4,雷电 4 扩展坞 12 合 1 双 4K,899.00,45,CNY,office-it,雷电 4 扩展坞 12 合 1 双 4K 40Gbps
BJ-HDMI-3M,HDMI 2.1 线缆 3 米 光纤,129.00,180,CNY,office-it,HDMI 2.1 光纤线 3 米 8K
BJ-DP-CABLE,DP 1.4 线缆 2 米,45.90,350,CNY,office-it,DisplayPort 1.4 线 2 米 8K 60Hz
BJ-MON-24,24 英寸 IPS 显示器 1080p,699.00,40,CNY,office-it,24 寸 IPS 1080p 75Hz 三边微边框
BJ-MON-27,27 英寸 2K IPS 显示器 75Hz,1099.00,30,CNY,office-it,27 寸 2K IPS 75Hz 内置音箱
BJ-SSD-1T,1TB NVMe 固态硬盘,459.00,90,CNY,office-it,PCIe 3.0 NVMe SSD 读取 3500MB/s
BJ-RAM-16G,DDR4 16GB 台式机内存,219.00,120,CNY,office-it,DDR4 3200MHz 16GB 台式机
BJ-KVM-2,2 口 KVM 切换器 HDMI,159.00,75,CNY,office-it,2 口 HDMI KVM 键鼠切换
BJ-DOCK-6IN1,USB-C 扩展坞 6 合 1 HDMI 标准款,209.00,150,CNY,office-it,USB-C 扩展坞 6 合 1 HDMI+USB3.0 标准款 企业通用
BJ-PAPER-A4,A4 复印纸 70g 500 张×5 包,139.00,500,CNY,office-it,A4 打印纸 70g 整箱 2500 张 企业通用
