sku,title,price,stock,currency,category,description
GZ-KB-MECH,机械键盘 87 键 茶轴 白光,259.00,150,CNY,office-it,87 键机械键盘 茶轴 PBT 键帽
GZ-KB-98,三模机械键盘 98 键 热插拔,349.00,110,CNY,office-it,98 键三模机械键盘 Gasket 结构
GZ-MS-ERGO,人体工学鼠标 无线 垂直设计,149.00,260,CNY,office-it,垂直人体工学无线鼠标 静音
GZ-MS-PRO,商务鼠标 无线充电款,119.00,400,CNY,office-it,无线蓝牙鼠标 可充电
GZ-MON-27HZ,27 英寸 2K 165Hz 电竞显示器,1299.00,25,CNY,office-it,27 寸 2K 165Hz Fast IPS
GZ-CAM-1080,1080P USB 摄像头 自动对焦,159.00,180,CNY,office-it,USB 高清摄像头 自动对焦 降噪麦克风
GZ-SPK-BAR,桌面音响条 蓝牙 USB,99.00,210,CNY,office-it,桌面蓝牙音箱 长条 USB 供电
GZ-MIC-CON,USB 会议全向麦克风,249.00,70,CNY,office-it,全向拾音会议麦克风 360°
GZ-DOCK-6IN1,USB-C 扩展坞 6 合 1 HDMI 标准款,185.00,220,CNY,office-it,USB-C 扩展坞 6 合 1 HDMI+USB3.0 标准款 企业通用
GZ-PAPER-A4,A4 复印纸 70g 500 张×5 包,139.00,500,CNY,office-it,A4 打印纸 70g 整箱 2500 张 企业通用
