sku,title,price,stock,currency,category,description
SH-TONER-05,激光打印机硒鼓 标准容量,189.00,220,CNY,office-it,激光打印硒鼓 兼容 惠普 05A
SH-TONER-28,打印机硒鼓 高容量 黑色,279.00,160,CNY,office-it,高容量硒鼓 兼容 惠普 28A
SH-PAPER-A4,A4 复印纸 70g 500 张×5 包,139.00,600,CNY,office-it,A4 打印纸 70g 整箱 2500 张
SH-PEN-10,中性笔 0.5mm 黑色 12 支装,15.90,800,CNY,office-it,办公中性笔 12 支/盒
SH-FOLDER-30,档案盒 A4 加厚 30 个装,59.00,400,CNY,office-it,加厚档案盒 A4 背宽 5cm
SH-CLIP-100,长尾夹 19mm 100 只装,12.90,900,CNY,office-it,办公长尾夹 大号 不锈钢
SH-TAPE-6,透明胶带 60mm×100m 6 卷,33.00,500,CNY,office-it,封箱透明胶带 加宽加厚
SH-BINDER-2,订书机 12 号 省力款,25.00,650,CNY,office-it,办公订书机 可旋转底座
SH-DOCK-6IN1,USB-C 扩展坞 6 合 1 HDMI 标准款,199.00,180,CNY,office-it,USB-C 扩展坞 6 合 1 HDMI+USB3.0 标准款 企业通用
SH-PAPER-A4,A4 复印纸 70g 500 张×5 包,139.00,500,CNY,office-it,A4 打印纸 70g 整箱 2500 张 企业通用
