sku,title,price,stock,currency,category,description
SZ-MON-ARM,显示器支架臂 17-32 寸 气弹簧,179.00,90,CNY,office-it,气弹簧显示器支架臂 承重 8kg
SZ-MON-ARM2,双屏显示器支架臂,289.00,50,CNY,office-it,双屏气弹簧支架 承重 8kg×2
SZ-NB-STAND,笔记本升降支架 铝合金 可折叠,89.00,280,CNY,office-it,铝合金笔记本升降支架 便携
SZ-HUB-C4,USB-C 4 口数据扩展坞,99.00,320,CNY,office-it,USB-C 4 口 USB3.0 扩展坞
SZ-CAM-4K,4K USB 摄像头 超高清,299.00,60,CNY,office-it,4K USB 摄像头 支持 PTZ 云台
SZ-LIGHT-BAR,屏幕挂灯 非对称光,199.00,130,CNY,office-it,显示器挂灯 非对称光路 无眩光
SZ-CABLE-ORG,理线魔术贴 10 条装,19.90,400,CNY,office-it,魔术贴理线带 可剪裁
SZ-KEY-CAP,机械键盘键帽套装 PBT,79.00,150,CNY,office-it,PBT 五面热升华键帽 104 键
SZ-DOCK-6IN1,USB-C 扩展坞 6 合 1 HDMI 标准款,195.00,160,CNY,office-it,USB-C 扩展坞 6 合 1 HDMI+USB3.0 标准款 企业通用
SZ-PAPER-A4,A4 复印纸 70g 500 张×5 包,139.00,500,CNY,office-it,A4 打印纸 70g 整箱 2500 张 企业通用
